"results__id","results__createdAt","results__updatedAt","results__displayName","results__name","results__boundaryId","results__theme__thumb","results__theme__image","results__theme__background","results__data","meta__results","meta__total"
"nh","2018-11-10T14:43:34.404Z","2019-01-29T20:23:55.907Z","New Hampshire","State of New Hampshire","usa-nh-new-hampshire-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/new-hampshire-flag/new-hampshire-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/new-hampshire-flag/new-hampshire-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/new-hampshire-flag/new-hampshire-flag-large.png","29183","",""
"nol-la","2018-11-10T14:43:34.512Z","2019-01-29T20:23:59.413Z","New Orleans","New Orleans, LA","usa-la-new-orleans-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/KbaqLwx.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/KbaqLwx.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/KbaqLwx.jpg","10248","",""
"iow-ia","2018-11-10T14:43:34.503Z","2019-01-29T20:23:59.360Z","Iowa City","Iowa City, IA","usa-ia-iowa-city-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/Hu5W0LA.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/Hu5W0LA.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/Hu5W0LA.jpg","1884","",""
"aus-tx","2018-11-10T14:43:34.560Z","2019-01-29T20:24:00.779Z","Austin","Austin, TX","usa-tx-austin-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/3iY9Dwy.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/3iY9Dwy.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/3iY9Dwy.jpg","37937","",""
"lon-ca","2018-11-26T23:01:35.084Z","2019-01-29T20:24:02.532Z","London","London, ON","can-on-london-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/iCd7Ysp.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/iCd7Ysp.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/iCd7Ysp.jpg","13605","",""
"nd","2018-11-10T14:43:34.414Z","2019-01-29T20:23:56.198Z","North Dakota","State of North Dakota","usa-nd-north-dakota-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/north-dakota-flag/north-dakota-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/north-dakota-flag/north-dakota-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/north-dakota-flag/north-dakota-flag-large.png","6669","",""
"kas-mo","2018-11-10T14:43:34.512Z","2019-01-29T20:23:59.244Z","Kansas City","Kansas City, MO","usa-mo-kansas-city-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/NmaBxKb.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/NmaBxKb.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/NmaBxKb.jpg","68890","",""
"min-mn","2018-11-15T03:53:05.756Z","2019-01-29T20:23:59.626Z","Minneapolis","Minneapolis, MN","usa-mn-minneapolis-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/GVTXFoo.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/GVTXFoo.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/GVTXFoo.jpg","22351","",""
"sav-ga","2018-11-10T20:05:48.621Z","2019-01-29T20:24:02.265Z","Savannah","Savannah, GA","usa-ga-savannah-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/vNl1Wnn.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/vNl1Wnn.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/vNl1Wnn.jpg","7210","",""
"nfk-va","2018-11-15T03:53:05.682Z","2019-01-29T20:23:58.052Z","Norfolk","Norfolk, VA","usa-va-norfolk-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/8zS1f4J.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/8zS1f4J.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/8zS1f4J.jpg","5969","",""
"phx-az","2018-07-26T21:35:01.520Z","2019-01-29T20:23:58.065Z","Phoenix","Phoenix, AZ","usa-az-phoenix-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/8KHZMkd.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/8KHZMkd.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/8KHZMkd.jpg","37607","",""
"syc-ny","2018-12-07T22:03:13.819Z","2019-01-29T20:24:00.143Z","Syracuse","Syracuse, NY","usa-ny-syracuse-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/GgKPcZa.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/GgKPcZa.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/GgKPcZa.jpg","3097","",""
"tx","2018-09-13T20:23:45.701Z","2019-01-29T20:23:56.745Z","Texas","State of Texas","usa-tx-texas-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/texas-flag/texas-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/texas-flag/texas-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/texas-flag/texas-flag-large.png","677930","",""
"wv","2018-11-10T14:43:34.448Z","2019-01-29T20:23:56.932Z","West Virginia","State of West Virginia","usa-wv-west-virginia-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/west-virginia-flag/west-virginia-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/west-virginia-flag/west-virginia-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/west-virginia-flag/west-virginia-flag-large.png","134851","",""
"sf-ca","2018-07-26T21:35:01.667Z","2019-01-29T20:23:57.596Z","San Francisco","San Francisco, CA","usa-ca-san-francisco-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/IUhjZxu.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/IUhjZxu.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/IUhjZxu.jpg","6032873","",""
"nhv-ct","2018-11-15T03:53:05.752Z","2019-01-29T20:23:59.654Z","New Haven","New Haven, CT","usa-ct-new-haven-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/pfldZB4.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/pfldZB4.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/pfldZB4.jpg","30119","",""
"va","2018-11-10T14:43:34.439Z","2019-01-29T20:23:56.918Z","Virginia","State of Virginia","usa-va-virginia-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/virginia-flag/virginia-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/virginia-flag/virginia-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/virginia-flag/virginia-flag-large.png","236002","",""
